temperature,humidity,mq2_analog,mq9_analog,mq135_analog,rssi,snr,air_quality
26.21,50.5,483,2074,806,-56,11.6,Good
27.68,48.76,494,2027,872,-58,13.4,Good
28.85,52.27,504,1966,894,-62,11.4,Good
28.84,54.58,505,2009,810,-56,15.7,Good
29.25,51.98,467,2094,925,-56,11.8,Good
33.24,48.98,557,2050,966,-64,13.5,Moderate
29.06,52.22,500,2015,904,-57,15.0,Good
30.65,52.32,450,1952,851,-64,12.5,Good
28.06,51.79,486,1945,895,-52,12.5,Good
28.63,49.03,440,2015,861,-59,13.8,Good
28.94,55.85,691,2051,908,-56,13.5,Moderate
31.07,57.68,456,1988,821,-59,13.7,Good
29.7,54.89,455,1964,796,-62,13.7,Good
29.24,54.01,582,1883,1012,-66,12.2,Moderate
29.03,48.75,498,1983,816,-67,12.9,Good
29.67,47.02,496,1828,881,-60,11.8,Good
27.23,58.08,492,2093,903,-61,12.1,Good
37.54,48.7,821,2919,814,-65,13.4,Hazardous
31.21,59.62,481,1982,875,-57,12.8,Good
30.96,62.78,505,1989,929,-51,11.3,Good
35.75,49.88,554,1797,926,-58,11.2,Moderate
28.27,67.47,464,1924,853,-67,12.7,Good
28.37,57.66,461,2138,900,-59,14.4,Good
28.39,52.38,517,1845,922,-57,10.7,Good
26.96,49.55,488,1952,925,-51,13.9,Good
32.77,51.29,780,2962,934,-68,14.7,Hazardous
30.21,45.77,503,1929,807,-61,8.9,Good
29.38,55.24,428,1916,890,-55,13.8,Good
30.51,58.49,525,2037,949,-62,12.1,Moderate
28.72,54.24,452,2000,875,-57,11.8,Good
30.63,47.64,482,1906,895,-58,11.0,Good
29.82,47.41,469,2200,908,-58,11.3,Good
29.1,46.62,490,1891,935,-63,12.4,Good
30.51,50.74,480,2143,892,-58,9.5,Good
27.6,55.41,815,2128,1559,-59,10.5,Poor
30.61,44.24,460,1870,845,-59,10.9,Good
25.63,48.59,471,2112,851,-60,10.3,Good
28.67,63.64,581,2067,1020,-61,12.6,Moderate
27.57,47.65,440,2097,845,-69,12.6,Good
28.1,44.07,465,1984,831,-57,14.8,Good
29.33,58.99,467,1942,872,-57,12.2,Good
28.57,54.01,484,1870,915,-61,11.6,Good
30.13,56.01,453,2181,836,-58,10.8,Good
29.79,48.33,459,2045,918,-51,9.7,Good
29.4,53.57,469,2041,839,-67,9.1,Good
32.16,49.33,511,2056,893,-63,11.1,Moderate
30.55,52.54,483,2211,823,-66,13.0,Good
31.92,52.48,449,1900,895,-64,12.1,Good
33.33,45.93,614,1859,945,-56,12.1,Moderate
29.76,54.91,437,1911,841,-61,12.1,Good
30.06,62.78,436,2083,871,-58,12.0,Good
28.34,57.83,487,2059,849,-61,10.2,Good
28.47,52.25,475,1977,877,-47,11.5,Good
25.21,52.32,458,1900,890,-59,9.3,Good
28.03,89.81,597,2054,1233,-64,12.6,Poor
28.85,63.25,597,1963,1231,-58,11.1,Moderate
28.24,39.23,498,1863,861,-65,9.3,Good
28.14,39.04,453,2039,810,-59,12.0,Good
29.87,57.98,465,1997,832,-62,10.7,Good
26.94,43.93,514,1979,843,-54,11.1,Good
40.77,62.79,683,2965,881,-53,14.3,Hazardous
29.2,50.17,475,1865,831,-53,11.0,Good
30.78,55.59,499,1924,813,-52,11.5,Good
28.62,54.28,534,1935,907,-59,12.4,Good
29.81,57.36,459,1916,828,-69,15.1,Good
27.35,50.89,461,2030,902,-55,11.1,Good
28.75,53.41,462,2160,889,-56,13.0,Good
30.76,54.0,450,1947,893,-53,12.0,Good
29.36,65.01,486,1823,900,-58,13.9,Good
30.01,50.95,444,1941,893,-51,12.6,Good
32.42,48.95,585,2001,974,-56,11.8,Moderate
36.15,50.0,639,2093,885,-68,9.7,Moderate
28.15,52.92,516,2200,952,-53,13.5,Good
29.89,47.91,469,1982,851,-56,13.4,Good
27.29,51.03,448,1813,866,-60,14.3,Good
29.95,46.88,525,2122,893,-61,10.6,Good
31.83,59.72,455,1888,875,-68,12.5,Good
28.78,54.57,454,1883,755,-60,14.7,Good
28.1,54.34,440,2030,900,-53,11.8,Good
31.07,50.87,984,3101,837,-52,11.6,Hazardous
27.36,51.16,473,2078,834,-65,12.2,Good
29.73,54.78,466,2235,836,-56,10.1,Good
27.39,48.96,518,2026,846,-58,12.1,Good
31.16,53.05,535,2094,892,-62,10.4,Good
28.67,60.16,462,2094,842,-61,10.8,Good
25.8,51.82,473,2106,901,-55,10.5,Good
29.69,59.91,481,2182,950,-61,11.0,Good
35.38,58.04,890,2593,864,-64,11.2,Hazardous
28.33,58.41,472,2085,889,-64,11.0,Good
35.39,50.33,898,2708,886,-49,10.4,Hazardous
29.68,46.69,482,1981,909,-54,15.9,Good
29.29,50.23,480,1970,876,-53,10.5,Good
30.71,41.39,451,2129,869,-64,11.2,Good
28.64,50.17,458,1907,934,-61,13.8,Good
33.87,54.02,583,1909,969,-65,13.8,Moderate
32.89,56.36,677,3103,947,-65,11.0,Hazardous
31.07,53.41,657,1962,905,-66,11.1,Moderate
28.98,49.97,467,2054,905,-54,15.1,Good
27.84,62.46,458,1971,865,-61,12.1,Good
28.13,55.28,515,1964,901,-57,15.4,Good
26.56,49.52,480,2139,820,-56,11.9,Good
26.72,46.4,466,1901,851,-52,11.6,Good
29.99,49.49,465,1906,989,-60,11.1,Moderate
28.71,53.52,394,1846,961,-62,8.2,Good
26.83,57.8,473,1951,901,-71,9.8,Good
28.13,56.27,473,2133,877,-55,11.9,Good
28.11,59.4,448,2034,900,-55,10.3,Good
30.22,54.68,494,1879,893,-54,12.3,Good
27.77,43.63,443,1947,930,-53,14.0,Good
27.29,52.03,483,1892,878,-51,12.8,Good
30.97,51.07,601,1982,916,-54,11.5,Moderate
29.7,47.36,405,2149,888,-60,11.5,Good
29.67,46.85,465,2043,776,-58,12.7,Good
32.15,58.11,484,2151,978,-59,12.6,Moderate
28.33,46.52,468,1958,912,-62,8.6,Good
27.71,52.47,437,2032,975,-69,11.2,Good
27.99,54.71,495,2003,817,-65,13.1,Good
29.44,46.08,454,2056,898,-55,10.4,Good
27.2,48.53,483,2045,900,-51,14.3,Good
27.98,52.38,459,2196,870,-56,12.3,Good
28.48,68.27,432,1818,947,-56,12.3,Good
33.43,56.78,949,2681,921,-58,12.2,Hazardous
28.8,57.02,539,2019,948,-61,13.4,Good
36.01,57.73,610,2951,842,-62,13.3,Hazardous
29.22,49.97,654,2153,1223,-55,10.3,Moderate
29.32,51.32,421,2044,839,-65,13.0,Good
27.82,49.65,504,2027,810,-58,14.2,Good
28.28,51.32,502,2021,921,-57,15.3,Good
27.37,46.92,439,2016,879,-57,10.3,Good
28.51,47.18,498,1912,861,-57,11.1,Good
29.28,56.51,407,1957,877,-65,12.3,Good
30.59,42.6,434,2018,888,-56,12.2,Good
28.38,48.96,464,2019,843,-61,12.6,Good
29.24,51.98,440,2098,857,-64,11.9,Good
29.33,45.37,518,1937,907,-61,13.3,Good
30.96,71.92,642,2013,1274,-47,10.5,Moderate
29.24,53.49,507,2029,1021,-57,13.2,Moderate
29.67,55.09,481,1989,850,-61,14.3,Good
27.86,52.68,424,1864,859,-66,10.2,Good
27.08,56.78,527,2188,901,-54,12.2,Good
56.59,57.77,963,1933,1284,-59,11.1,Hazardous
29.28,44.03,508,2134,928,-58,13.0,Good
27.7,49.7,495,2090,872,-57,10.5,Good
32.15,47.51,586,2006,929,-54,12.0,Moderate
27.95,58.26,489,2018,881,-52,11.7,Good
27.03,56.77,468,1916,886,-59,12.3,Good
29.43,47.91,392,1995,871,-56,11.7,Good
26.77,47.89,509,1916,933,-54,11.5,Good
28.64,44.27,486,2041,915,-58,11.2,Good
35.16,52.3,704,1939,926,-62,9.8,Moderate
28.54,51.58,449,2078,812,-69,14.4,Good
27.79,55.73,437,2070,937,-62,9.1,Good
31.53,50.91,436,2142,848,-67,12.3,Good
31.1,52.43,523,2138,1041,-61,10.6,Moderate
31.74,49.6,603,2124,1031,-56,14.5,Moderate
28.13,49.06,469,1977,846,-64,13.2,Good
31.01,56.27,477,1942,899,-63,11.4,Good
39.41,49.68,1039,2156,1395,-65,14.2,Hazardous
29.98,44.48,501,1900,854,-58,15.0,Good
33.66,54.67,496,1967,941,-58,12.7,Good
30.26,48.91,453,1889,887,-56,12.7,Good
34.4,46.54,482,2069,985,-61,11.9,Moderate
29.86,54.5,471,2000,843,-56,12.6,Good
25.77,57.49,455,1913,897,-61,13.6,Good
29.93,58.06,477,1963,875,-68,12.6,Good
26.72,77.16,664,2153,1533,-68,10.3,Moderate
30.68,59.24,459,1867,853,-58,10.6,Good
27.56,52.16,447,1976,833,-55,13.6,Good
28.48,48.75,570,1855,905,-65,12.3,Moderate
31.51,58.7,431,2082,902,-65,13.2,Good
31.31,57.09,478,2055,883,-58,10.0,Good
28.66,51.78,424,2051,892,-60,13.7,Good
28.5,51.88,464,2022,855,-60,13.2,Good
32.93,58.91,519,2068,909,-58,12.4,Moderate
27.63,47.84,467,1928,897,-52,11.1,Good
29.36,54.5,484,2007,899,-57,10.1,Good
27.86,52.19,490,1979,912,-48,10.8,Good
26.93,50.85,513,1866,897,-63,14.6,Good
31.62,56.3,523,1995,946,-69,12.0,Moderate
27.12,56.07,461,1972,901,-58,12.9,Good
30.45,46.57,445,2294,919,-66,10.0,Good
29.82,50.73,466,2032,873,-71,11.7,Good
27.72,53.84,460,2092,889,-57,12.9,Good
29.71,47.37,486,1908,853,-61,13.5,Good
33.4,48.45,463,1978,928,-47,12.6,Moderate
32.13,44.07,413,2187,885,-64,12.8,Good
29.49,56.62,439,2008,832,-58,10.7,Good
31.85,56.29,693,2003,856,-61,11.9,Moderate
30.5,53.4,522,2037,885,-60,13.8,Good
42.31,50.99,744,1993,1310,-62,11.9,Hazardous
30.0,54.32,480,2003,901,-74,10.9,Good
28.86,47.57,513,1954,864,-57,11.7,Good
28.42,57.26,447,2024,803,-50,13.8,Good
33.13,55.34,442,2157,825,-65,9.6,Good
27.11,61.95,485,2041,933,-58,10.9,Good
26.45,45.72,480,2103,881,-58,13.0,Good
27.44,53.2,415,1792,866,-57,14.4,Good
34.98,52.8,554,1985,1047,-55,10.1,Moderate
28.96,55.33,490,1935,888,-60,9.8,Good
33.06,53.78,640,2142,1009,-67,11.3,Moderate
32.67,46.12,437,1884,858,-54,10.5,Good
32.36,43.24,606,1933,1056,-53,13.2,Moderate
30.44,58.95,424,1948,958,-61,7.6,Good
44.28,55.58,1058,1964,1146,-59,12.3,Hazardous
27.19,53.87,458,2181,908,-57,12.8,Good
31.0,47.1,561,1889,857,-68,12.8,Good
26.39,57.56,445,1985,907,-58,12.5,Good
30.2,51.17,476,1910,909,-58,12.1,Good
28.73,49.58,480,2030,843,-60,11.0,Good
27.94,43.49,456,1938,912,-65,10.9,Good
31.05,46.31,458,2033,905,-61,9.1,Good
29.59,53.18,443,1883,950,-67,13.2,Moderate
25.52,54.71,519,2112,897,-62,13.2,Good
27.22,49.5,521,1992,737,-67,11.4,Good
30.55,49.37,411,1950,883,-58,10.1,Good
27.15,55.3,407,2086,834,-57,10.1,Good
29.44,54.21,457,2038,862,-59,12.7,Good
28.2,57.98,473,1915,886,-57,12.8,Good
27.53,50.2,486,2029,885,-53,13.0,Good
27.93,50.69,494,1997,843,-63,11.9,Good
34.75,51.78,503,2193,857,-54,11.5,Moderate
29.33,52.11,496,1934,870,-59,11.2,Good
26.67,50.49,477,1910,837,-62,13.8,Good
29.57,53.63,632,2075,931,-56,12.2,Moderate
27.19,54.53,475,2069,811,-65,13.7,Good
29.5,76.96,642,1901,1217,-54,10.4,Moderate
28.3,46.23,437,2029,867,-57,9.5,Good
29.01,84.52,684,2086,1542,-57,13.0,Poor
27.55,50.65,487,1889,906,-62,11.3,Good
29.34,60.56,468,1814,901,-68,10.2,Good
28.64,50.61,491,2085,920,-50,13.2,Good
33.78,54.53,541,1908,949,-60,12.2,Moderate
26.38,54.91,468,2045,852,-60,12.2,Good
28.55,44.92,489,1813,911,-57,12.7,Good
30.73,49.41,437,1936,867,-64,13.9,Good
28.9,54.42,483,1920,780,-57,11.7,Good
29.5,61.79,469,1948,824,-61,12.2,Good
29.08,64.96,560,2026,1443,-59,12.7,Poor
26.21,65.29,520,1893,1367,-54,13.9,Moderate
28.19,52.77,500,2001,806,-58,11.6,Good
34.31,59.15,587,1943,1056,-58,14.4,Moderate
28.65,57.82,491,1978,896,-62,15.5,Good
25.0,50.87,467,2150,842,-53,10.2,Good
31.02,49.63,472,1966,921,-54,12.7,Good
28.14,40.76,564,1967,944,-52,11.3,Moderate
30.84,50.13,544,1940,966,-59,11.2,Moderate
30.51,52.48,454,2034,867,-68,12.5,Good
28.64,55.9,451,2006,918,-61,11.1,Good
29.98,42.07,451,2067,838,-60,11.0,Good
30.01,40.15,477,1881,894,-56,11.7,Good
28.75,60.49,444,2156,835,-57,10.3,Good
28.53,55.05,455,1857,900,-65,12.8,Good
30.46,54.41,449,2140,824,-61,11.7,Good
29.91,57.58,501,2022,858,-69,10.0,Good
45.67,57.72,726,2092,1150,-52,12.4,Hazardous
30.92,57.89,538,2046,1004,-63,12.0,Moderate
28.85,51.19,549,2123,1039,-56,10.1,Moderate
31.54,57.98,484,1993,919,-56,13.7,Good
30.75,54.55,507,1958,823,-58,11.9,Good
28.7,53.32,460,2088,898,-55,11.3,Good
32.02,47.95,559,1962,957,-60,12.9,Moderate
28.98,55.98,455,1998,1010,-56,10.5,Moderate
45.08,53.13,721,1891,1212,-72,10.8,Hazardous
28.49,50.71,565,1996,957,-56,14.0,Moderate
28.51,58.65,490,2109,839,-54,14.2,Good
28.94,58.2,550,1901,827,-55,10.9,Good
28.96,54.21,481,1982,799,-59,14.4,Good
26.59,52.19,482,1930,916,-59,13.0,Good
29.94,52.93,434,2108,902,-70,11.0,Good
30.56,66.04,866,1999,1234,-58,12.0,Poor
31.75,59.91,531,1970,991,-62,10.9,Moderate
36.59,52.54,654,2528,897,-60,11.4,Hazardous
29.5,46.54,478,2106,876,-53,9.7,Good
29.41,35.3,451,1899,814,-65,12.9,Good
30.31,47.08,547,2126,1051,-72,10.5,Moderate
28.47,42.34,496,1970,872,-60,10.0,Good
29.97,54.36,564,1973,999,-68,11.9,Moderate
28.55,46.12,469,1966,889,-57,13.2,Good
28.24,54.16,450,2055,812,-54,11.5,Good
27.76,48.89,463,1998,871,-62,12.3,Good
29.01,55.04,485,2005,906,-69,11.2,Good
30.07,51.6,493,2111,914,-55,11.6,Good
31.4,51.21,823,3058,928,-55,14.7,Hazardous
26.6,50.36,463,2049,848,-57,14.9,Good
28.73,50.22,505,1937,871,-59,11.2,Good
26.94,54.5,453,2122,834,-51,9.4,Good
27.81,54.12,508,1778,890,-72,10.6,Good
31.44,49.09,434,1980,952,-69,10.4,Good
28.84,45.8,532,2159,897,-64,11.9,Good
31.11,56.4,510,2137,903,-56,14.2,Moderate
43.32,42.8,1175,2064,1237,-60,10.1,Hazardous
28.17,45.28,495,1894,869,-68,13.2,Good
26.7,56.19,445,1882,854,-62,11.2,Good
30.91,48.56,474,1961,885,-55,13.1,Good
26.62,59.4,457,2078,828,-64,13.0,Good
28.81,52.89,554,1916,927,-58,10.6,Moderate
35.15,52.08,681,3047,877,-53,12.7,Hazardous
30.58,51.52,482,2038,837,-57,14.4,Good
27.97,43.1,508,2076,849,-67,10.8,Good
28.04,58.71,449,1849,823,-60,10.9,Good
30.49,49.07,458,2071,847,-57,12.5,Good
32.42,63.1,563,1895,988,-55,11.1,Moderate
30.16,56.08,457,2040,841,-55,13.7,Good
28.69,61.03,459,2104,883,-61,10.0,Good
29.32,47.7,538,2037,885,-62,12.5,Good
27.53,59.03,480,2060,861,-64,12.1,Good
29.28,56.98,448,1897,857,-59,11.6,Good
26.95,45.73,388,2094,870,-54,10.3,Good
29.04,53.07,453,1844,939,-53,11.4,Good
27.51,61.14,420,1971,873,-51,13.3,Good
28.37,50.86,595,1859,938,-57,13.0,Moderate
31.54,52.17,532,1876,887,-52,13.2,Moderate
30.64,61.52,451,2113,871,-61,14.3,Good
30.58,43.87,629,1943,859,-62,11.2,Moderate
30.29,45.37,595,1833,953,-61,12.0,Moderate
29.84,49.54,534,2028,923,-58,12.7,Moderate
31.35,52.34,450,1910,835,-67,13.4,Good
25.65,49.44,443,2144,870,-56,14.0,Good
28.67,48.29,454,1990,864,-57,12.8,Good
28.8,58.57,453,2119,810,-61,11.5,Good
29.42,56.31,432,1889,813,-53,12.4,Good
27.37,50.61,459,1921,829,-54,14.5,Good
32.79,54.67,741,3014,856,-55,10.3,Hazardous
29.32,44.96,476,1856,892,-62,9.8,Good
30.94,52.87,559,2164,1025,-61,9.7,Moderate
26.58,53.04,465,2267,872,-63,12.2,Good
29.61,50.45,469,1912,826,-55,13.7,Good
29.63,42.95,484,1820,843,-55,13.0,Good
29.69,58.56,486,1798,855,-60,11.8,Good
27.71,50.06,597,1885,983,-58,10.6,Moderate
30.07,58.14,483,2226,897,-54,13.9,Good
26.93,46.1,439,1968,896,-57,12.0,Good
30.08,43.38,447,2002,899,-66,12.0,Good
26.65,57.13,477,1865,815,-58,14.1,Good
27.35,56.12,490,2015,796,-56,12.8,Good
27.68,57.41,496,1892,922,-59,12.2,Good
28.74,57.17,500,2018,905,-64,12.9,Good
26.62,48.69,482,1933,846,-56,11.2,Good
31.0,55.77,488,1975,904,-54,10.6,Good
30.27,49.78,452,2016,917,-65,10.5,Good
28.22,59.49,466,1971,934,-56,11.2,Good
31.72,51.16,529,1812,1108,-63,13.0,Moderate
28.42,56.53,431,2131,905,-58,11.2,Good
26.88,55.54,552,2014,796,-57,13.3,Good
27.88,49.34,464,1913,820,-59,11.7,Good
30.07,53.32,610,2023,968,-54,12.2,Moderate
28.86,55.87,488,2013,820,-56,10.7,Good
28.88,58.06,441,2167,906,-67,11.4,Good
29.45,43.89,484,2116,917,-58,12.7,Moderate
30.72,60.52,629,1909,927,-63,7.7,Moderate
27.12,47.68,421,1925,844,-60,11.4,Good
32.17,58.64,504,2066,1011,-57,13.0,Moderate
27.68,44.88,446,2033,941,-56,13.0,Good
26.56,53.45,459,2166,872,-59,9.1,Good
29.83,41.22,456,2173,863,-58,14.4,Good
28.77,55.13,481,1945,852,-64,9.5,Good
43.28,59.83,1243,1868,1227,-63,9.0,Hazardous
31.68,49.45,508,1941,969,-58,15.5,Moderate
30.93,39.87,398,1950,913,-67,7.5,Good
29.86,91.45,743,1901,1207,-59,11.1,Moderate
28.64,55.99,414,2004,892,-50,11.3,Good
29.49,42.98,398,2084,869,-54,9.9,Good
29.78,53.38,470,1842,924,-63,12.8,Good
31.15,50.26,513,1992,796,-55,11.1,Good
30.05,52.82,535,2049,867,-54,12.3,Good
29.35,57.18,444,2142,866,-64,13.5,Good
28.57,55.8,461,1994,889,-58,9.0,Good
28.8,49.38,429,1892,789,-60,11.1,Good
30.06,62.47,599,2115,1038,-63,12.3,Moderate
28.35,44.58,463,2120,808,-65,12.2,Good
47.02,45.17,739,2070,1135,-67,11.1,Hazardous
27.72,51.29,437,2049,895,-66,11.1,Good
33.58,57.7,858,2931,833,-50,9.3,Hazardous
27.08,49.74,522,1995,852,-57,11.7,Good
28.88,48.79,415,2048,820,-60,13.4,Good
26.75,47.17,530,1999,847,-63,13.3,Good
29.0,57.58,438,1909,858,-60,11.5,Good
32.95,54.08,462,1895,862,-56,14.0,Good
28.57,44.66,505,1958,868,-57,16.1,Good
31.67,50.81,508,2145,892,-51,13.7,Moderate
28.08,52.2,501,1834,880,-56,13.2,Good
30.81,53.72,466,2113,842,-67,11.7,Good
29.8,57.19,485,2083,911,-61,11.8,Good
29.64,48.42,503,1998,870,-51,10.4,Good
29.32,61.65,451,1880,837,-61,12.1,Good
31.44,58.51,545,2082,914,-55,13.0,Good
29.59,51.35,486,2007,827,-60,11.7,Good
28.91,54.45,491,1949,909,-54,12.5,Good
30.0,57.27,446,1930,877,-70,12.3,Good
32.56,48.51,575,1944,968,-54,13.0,Moderate
29.98,55.45,486,1871,869,-63,13.0,Good
27.85,42.6,497,1997,921,-68,11.6,Good
27.01,54.72,527,2047,873,-66,10.8,Good
28.92,54.67,550,1901,871,-66,8.7,Good
27.72,71.36,728,1950,1253,-64,10.9,Poor
28.66,46.56,438,1947,869,-61,10.4,Good
32.77,47.49,502,2028,990,-63,7.6,Moderate
28.88,49.61,538,1962,894,-66,10.4,Good
28.42,42.76,464,2018,873,-62,11.8,Good
27.88,52.49,465,1949,862,-59,14.6,Good
30.89,47.94,576,1918,1051,-73,12.8,Moderate
27.97,55.82,464,1806,876,-63,12.0,Good
31.48,56.82,480,1886,805,-64,13.3,Good
28.55,52.41,429,2086,789,-63,12.6,Good
27.32,55.07,443,1877,921,-59,12.8,Good
29.95,48.19,451,2043,855,-57,11.9,Good
28.35,48.3,578,2183,1054,-63,12.1,Moderate
29.55,50.01,448,2079,928,-56,11.2,Good
29.27,54.9,466,2093,817,-60,11.6,Good
28.83,50.53,441,2132,812,-62,14.5,Good
29.7,51.9,470,1905,867,-61,12.3,Good
26.74,53.99,500,1979,895,-58,11.1,Good
29.44,51.72,508,2079,901,-58,10.6,Good
29.49,52.32,435,2120,914,-65,11.0,Good
29.74,52.22,478,1871,885,-60,11.0,Good
26.7,43.49,470,2012,847,-58,11.8,Good
29.8,57.08,480,1952,844,-65,12.2,Good
30.48,48.24,994,2125,1241,-67,12.9,Hazardous
29.57,61.99,530,1983,836,-57,11.4,Good
32.4,47.94,556,1941,1009,-66,13.2,Moderate
28.7,46.85,484,1915,853,-58,14.0,Good
29.04,52.25,489,2107,856,-76,10.8,Good
29.97,57.83,638,1790,864,-57,11.9,Moderate
26.16,50.07,468,1986,955,-50,10.9,Good
25.93,68.85,637,2158,1083,-56,10.6,Poor
31.77,50.22,580,1965,937,-64,13.7,Moderate
29.89,43.46,581,2100,1095,-61,12.2,Moderate
28.3,47.83,426,2024,934,-60,10.7,Good
28.77,59.02,445,1971,881,-58,12.1,Good
27.08,52.55,488,1936,872,-63,12.6,Good
27.43,47.86,429,1928,767,-61,11.2,Good
30.48,64.97,633,1954,980,-55,9.5,Moderate
28.38,54.23,446,2120,894,-59,12.6,Good
28.36,54.5,476,1957,899,-60,11.0,Good
29.38,46.93,419,1999,843,-61,10.5,Good
30.66,53.89,558,1854,940,-62,10.6,Moderate
31.0,42.69,473,2085,853,-65,12.6,Good
30.5,52.49,443,2086,902,-65,12.5,Good
28.89,47.71,454,1899,867,-61,15.2,Good
34.2,50.16,805,2815,877,-58,12.0,Hazardous
33.13,54.89,558,2107,878,-53,12.3,Moderate
29.11,67.23,637,2101,1550,-64,14.2,Poor
25.87,57.44,479,1995,910,-64,13.7,Good
26.24,55.07,477,1943,832,-53,11.8,Good
27.85,57.69,435,1964,890,-60,12.4,Good
31.2,49.61,478,2070,882,-63,13.7,Good
29.77,60.41,448,2041,848,-69,9.1,Good
54.01,48.71,849,2069,1426,-63,12.1,Hazardous
30.1,54.69,491,2239,957,-63,14.4,Good
29.57,51.15,445,2082,912,-70,12.0,Good
